train_id,station_order,station_code,station_name,delay_arrival
22512,7,MLDT,MALDA TOWN ,49
22512,8,PKR,PAKUR ,51
22512,9,RPH,RAMPUR HAT ,55
22512,10,BHP,BOLPUR S NIKTN ,60
22512,11,BWN,BARDDHAMAN JN ,58
22512,12,DKAE,DANKUNI ,72
22512,13,KGP,KHARAGPUR JN ,90
22512,14,TATA,TATANAGAR JN ,125
22512,15,CKP,CHAKRADHARPUR ,141
22512,16,ROU,ROURKELA ,165
22512,17,JSG,JHARSUGUDA JN ,179
22512,18,RIG,RAIGARH ,199
22512,19,KHS,KHARSIA ,143
22512,20,BSP,BILASPUR JN ,220
22512,21,R,RAIPUR JN ,242
22512,22,G,GONDIA JN ,279
22512,23,NGP,NAGPUR ,288
22512,24,AK,AKOLA JN ,272
22512,25,BSL,BHUSAVAL JN ,292
22512,26,MMR,MANMAD JN ,313
22512,27,KYN,KALYAN JN ,336
22512,28,TNA,THANE ,419
22512,29,LTT,LOKMANYATILAK T ,289
12424,1,NDLS,NEW DELHI ,5
12424,2,CNB,KANPUR CENTRAL ,21
12424,3,PRYJ,PRAYAGRAJ JN ,39
12424,4,DDU,PT DEEN DAYAL UPADHYAY JN ,33
12424,5,DNR,DANAPUR ,46
12424,6,PPTA,PATLIPUTRA ,36
12424,7,BJU,BARAUNI JN ,25
12424,8,NNA,NAUGACHIA ,34
12424,9,KIR,KATIHAR JN ,35
12424,10,KNE,KISHANGANJ ,55
12424,11,NJP,NEW JALPAIGURI ,46
12424,12,NCB,NEW COOCH BEHAR ,42
12424,13,KOJ,KOKRAJHAR ,56
12424,14,NBQ,NEW BONGAIGAON ,47
12424,15,GHY,GUWAHATI ,89
12424,16,CPK,CHAPARMUKH JN ,102
12424,17,LMG,LUMDING JN ,89
12424,18,DMV,DIMAPUR ,98
12424,19,MXN,MARIANI JN ,85
12424,20,NTSK,NEW TINSUKIA JN ,93
12424,21,DBRG,DIBRUGARH ,91
12424,22,DBRT,DIBRUGARH TOWN ,16
20501,1,AGTL,AGARTALA ,11
20501,2,ABSA,AMBASA ,23
20501,3,DMR,DHARMANAGAR ,18
20501,4,NKMG,NEW KARIMGANJ ,17
20501,5,BPB,BADARPUR JN ,23
20501,6,HJI,HOJAI ,22
20501,7,GHY,GUWAHATI ,25
20501,8,RNY,RANGIYA JN ,29
20501,9,BPRD,BARPETA ROAD ,43
20501,10,NJP,NEW JALPAIGURI ,47
20501,11,MLDT,MALDA TOWN ,44
20501,12,BGP,BHAGALPUR ,41
20501,13,JMP,JAMALPUR JN ,41
20501,14,PNBE,PATNA JN ,43
