lead_train,lead_delay,target_train,target_delay,delta_time,station_code,target_delayed
20501,25,02502,36,11.0,GHY,True
20501,25,12516,55,30.0,GHY,True
20501,25,12508,78,53.0,GHY,True
02502,36,12516,55,19.0,GHY,True
02502,36,12508,78,42.0,GHY,True
02502,36,12504,87,51.0,GHY,True
02502,36,12423,34,58.0,GHY,True
12516,55,12508,78,23.0,GHY,True
12516,55,12504,87,32.0,GHY,True
12516,55,12423,34,39.0,GHY,True
12508,78,12504,87,9.0,GHY,True
12508,78,12423,34,16.0,GHY,True
12504,87,12423,34,7.0,GHY,True
05639,62,12520,85,23.0,GHY,True
12520,85,22502,22,57.0,GHY,True
22502,22,15946,42,20.0,GHY,True
22502,22,14619,44,22.0,GHY,True
15946,42,14619,44,2.0,GHY,True
13181,79,15909,17,58.0,GHY,True
15909,17,14038,237,40.0,GHY,True
02501,230,20504,85,35.0,GHY,True
02501,230,15960,37,47.0,GHY,True
20504,85,15960,37,12.0,GHY,True
05640,258,14620,276,18.0,GHY,True
12503,497,22501,254,57.0,GHY,True
22501,254,12519,279,25.0,GHY,True
22449,38,02518,57,19.0,GLPT,True
05639,102,22502,62,20.0,GLPT,True
22502,62,14038,242,60.0,GLPT,True
14038,242,22450,187,5.0,GLPT,True
02501,169,02517,194,25.0,GLPT,True
15945,25,15647,52,27.0,HD,True
20501,22,12516,29,7.0,HJI,True
20501,22,12508,51,29.0,HJI,True
12516,29,12508,51,22.0,HJI,True
12508,51,12520,43,52.0,HJI,True
12520,43,05639,18,35.0,HJI,True
05639,18,15946,17,59.0,HJI,True
15946,17,14619,65,48.0,HJI,True
15945,42,12519,50,8.0,JBP,True
15909,58,13181,83,25.0,JID,True
12509,149,12515,130,41.0,JJKR,True
12516,190,12508,200,10.0,JJKR,True
02501,19,02517,34,15.0,JRLE,True
12509,22,22501,23,1.0,JTJ,True
12508,302,12516,336,34.0,JTJ,True
22501,158,12503,314,36.0,KGP,True
12503,314,12510,127,53.0,KGP,True
22502,89,12509,148,59.0,KGP,True
12509,148,12515,128,40.0,KGP,True
12515,128,12516,149,21.0,KGP,True
12515,128,12508,170,42.0,KGP,True
12516,149,12508,170,21.0,KGP,True
22450,143,12424,35,12.0,KIR,True
22450,143,14038,198,55.0,KIR,True
14037,23,12424,35,12.0,KIR,True
14037,23,14038,198,55.0,KIR,True
12424,35,14038,198,43.0,KIR,True
14619,69,20503,34,25.0,KIR,True
14619,69,12423,50,41.0,KIR,True
14619,69,20501,55,46.0,KIR,True
20503,34,12423,50,16.0,KIR,True
20503,34,20501,55,21.0,KIR,True
12423,50,20501,55,5.0,KIR,True
15946,28,12519,125,37.0,KIR,True
12509,19,22501,27,8.0,KJM,True
02518,94,12346,53,19.0,KNE,True
02518,94,02501,131,37.0,KNE,True
02518,94,02517,140,46.0,KNE,True
12346,53,02501,131,18.0,KNE,True
12346,53,02517,140,27.0,KNE,True
12346,53,22450,166,53.0,KNE,True
02501,131,02517,140,9.0,KNE,True
02501,131,22450,166,35.0,KNE,True
02501,131,12424,55,44.0,KNE,True
02517,140,22450,166,26.0,KNE,True
02517,140,12424,55,35.0,KNE,True
22450,166,12424,55,9.0,KNE,True
15648,77,12504,121,44.0,KNE,True
15648,77,20504,68,51.0,KNE,True
15648,77,05640,190,53.0,KNE,True
12504,121,20504,68,7.0,KNE,True
12504,121,05640,190,9.0,KNE,True
20504,68,05640,190,2.0,KNE,True
12510,96,20503,42,6.0,KNE,True
12510,96,12423,57,21.0,KNE,True
20503,42,12423,57,15.0,KNE,True
22502,75,12516,98,23.0,KNE,True
22502,75,15630,115,40.0,KNE,True
22502,75,12508,133,58.0,KNE,True
12516,98,15630,115,17.0,KNE,True
12516,98,12508,133,35.0,KNE,True
15630,115,12508,133,18.0,KNE,True
05639,136,15946,55,39.0,KNE,True
12519,157,15909,62,25.0,KNE,True
12519,157,22501,266,49.0,KNE,True
15909,62,22501,266,24.0,KNE,True
12515,202,12509,244,42.0,KNE,True
15647,119,12507,359,60.0,KNE,True
15945,17,15647,45,28.0,KNW,True
15647,45,12519,33,48.0,KNW,True
13181,1,02501,7,6.0,KOAA,False
13181,1,02517,19,18.0,KOAA,True
02501,7,02517,19,12.0,KOAA,True
02502,85,12423,50,25.0,KOJ,True
12424,56,12516,75,19.0,KOJ,True
12424,56,05639,90,34.0,KOJ,True
12424,56,12508,105,49.0,KOJ,True
12424,56,02501,175,59.0,KOJ,True
12516,75,05639,90,15.0,KOJ,True
12516,75,12508,105,30.0,KOJ,True
12516,75,02501,175,40.0,KOJ,True
12516,75,02517,191,56.0,KOJ,True
05639,90,12508,105,15.0,KOJ,True
05639,90,02501,175,25.0,KOJ,True
05639,90,02517,191,41.0,KOJ,True
12508,105,02501,175,10.0,KOJ,True
12508,105,02517,191,26.0,KOJ,True
02501,175,02517,191,16.0,KOJ,True
15629,218,12515,217,59.0,KOJ,True
22501,19,12509,26,7.0,KPD,True
12509,26,12503,205,59.0,KPD,True
12503,205,12515,38,13.0,KPD,True
12508,305,12516,334,29.0,KPD,True
12519,61,15945,72,11.0,KTE,True
22501,123,12503,285,42.0,KUR,True
12509,126,12515,104,38.0,KUR,True
22502,117,12510,180,3.0,KUR,True
12508,222,12516,224,2.0,KUR,True
02501,19,02517,33,14.0,KWAE,True
15945,26,15647,37,11.0,KYN,True
15945,26,12519,20,54.0,KYN,True
15647,37,12519,20,43.0,KYN,True
12346,16,12510,30,14.0,KYQ,True
12346,16,15648,56,40.0,KYQ,True
12510,30,15648,56,26.0,KYQ,True
15630,84,12516,62,38.0,KYQ,True
15630,84,12508,82,58.0,KYQ,True
